id,country_name,region,flight
300,Sweden,canada_pacific,> 10h
301,Croatia,canada_pacific,> 10h
302,USA,LATAM,3 to 6h
303,Canada,LATAM,3 to 6h
304,Mexico,LATAM,< 3h
305,Brazil,LATAM,< 3h
306,Argentina,LATAM,< 3h
307,Dominican Republic,LATAM,< 3h
308,Peru,LATAM,< 3h
309,Cuba,LATAM,< 3h
310,Iceland,LATAM,> 10h
311,"UK, Ireland",LATAM,> 10h
312,Denmark,LATAM,> 10h
313,France,LATAM,> 10h
314,Spain,LATAM,> 10h
315,Portugal,LATAM,> 10h
316,Italy,LATAM,> 10h
317,Greece,LATAM,> 10h
318,Czech Republic,LATAM,> 10h
319,Belgium,LATAM,> 10h
320,Turkey,LATAM,> 10h
321,Jordan,LATAM,> 10h
322,U.A.E,LATAM,> 10h
323,Egypt,LATAM,> 10h
324,Tanzania,LATAM,> 10h
325,Kenya,LATAM,> 10h
326,Seychelles,LATAM,> 10h
327,Madagascar,LATAM,> 10h
328,South Africa,LATAM,> 10h
329,Morocco,LATAM,> 10h
330,China,LATAM,> 10h
331,India,LATAM,> 10h
332,Nepal,LATAM,> 10h
333,Thailand,LATAM,> 10h
334,Vietnam,LATAM,> 10h
335,Australia,LATAM,> 10h
336,New Zealand,LATAM,> 10h
337,Japan,LATAM,> 10h
338,Indonesia,LATAM,> 10h
339,Cambodia,LATAM,> 10h
340,Netherlands,LATAM,> 10h
341,Finland,LATAM,> 10h
342,Norway,LATAM,> 10h
343,Sweden,LATAM,> 10h
344,Croatia,LATAM,> 10h
345,USA,Europe,6 to 10h
346,Canada,Europe,6 to 10h
347,Mexico,Europe,> 10h
348,Brazil,Europe,> 10h
349,Argentina,Europe,> 10h
350,Dominican Republic,Europe,> 10h
351,Peru,Europe,> 10h
352,Cuba,Europe,> 10h
353,Iceland,Europe,< 3h
354,"UK, Ireland",Europe,< 3h
355,Denmark,Europe,< 3h
356,France,Europe,< 3h
357,Spain,Europe,< 3h
358,Portugal,Europe,< 3h
359,Italy,Europe,< 3h
360,Greece,Europe,< 3h
361,Czech Republic,Europe,< 3h
362,Belgium,Europe,< 3h
363,Turkey,Europe,3 to 6h
364,Jordan,Europe,3 to 6h
365,U.A.E,Europe,3 to 6h
366,Egypt,Europe,3 to 6h
367,Tanzania,Europe,6 to 10h
368,Kenya,Europe,6 to 10h
369,Seychelles,Europe,6 to 10h
370,Madagascar,Europe,6 to 10h
371,South Africa,Europe,6 to 10h
372,Morocco,Europe,3 to 6h
373,China,Europe,6 to 10h
374,India,Europe,6 to 10h
375,Nepal,Europe,> 10h
376,Thailand,Europe,> 10h
377,Vietnam,Europe,> 10h
378,Australia,Europe,> 10h
379,New Zealand,Europe,> 10h
380,Japan,Europe,> 10h
381,Indonesia,Europe,> 10h
382,Cambodia,Europe,> 10h
383,Netherlands,Europe,< 3h
384,Finland,Europe,< 3h
385,Norway,Europe,< 3h
386,Sweden,Europe,< 3h
387,Croatia,Europe,< 3h
388,USA,Middle East,> 10h
389,Canada,Middle East,> 10h
390,Mexico,Middle East,> 10h
391,Brazil,Middle East,> 10h
392,Argentina,Middle East,> 10h
393,Dominican Republic,Middle East,> 10h
394,Peru,Middle East,> 10h
395,Cuba,Middle East,> 10h
396,Iceland,Middle East,3 to 6h
397,"UK, Ireland",Middle East,3 to 6h
398,Denmark,Middle East,3 to 6h
399,France,Middle East,3 to 6h
400,Spain,Middle East,3 to 6h
401,Portugal,Middle East,3 to 6h
402,Italy,Middle East,3 to 6h
403,Greece,Middle East,3 to 6h
404,Czech Republic,Middle East,3 to 6h
405,Belgium,Middle East,3 to 6h
406,Turkey,Middle East,< 3h
407,Jordan,Middle East,< 3h
408,U.A.E,Middle East,< 3h
409,Egypt,Middle East,< 3h
410,Tanzania,Middle East,3 to 6h
411,Kenya,Middle East,3 to 6h
412,Seychelles,Middle East,3 to 6h
413,Madagascar,Middle East,3 to 6h
414,South Africa,Middle East,3 to 6h
415,Morocco,Middle East,3 to 6h
416,China,Middle East,6 to 10h
417,India,Middle East,6 to 10h
418,Nepal,Middle East,6 to 10h
419,Thailand,Middle East,6 to 10h
420,Vietnam,Middle East,6 to 10h
421,Australia,Middle East,> 10h
422,New Zealand,Middle East,> 10h
423,Japan,Middle East,6 to 10h
424,Indonesia,Middle East,6 to 10h
425,Cambodia,Middle East,6 to 10h
426,Netherlands,Middle East,3 to 6h
427,Finland,Middle East,3 to 6h
428,Norway,Middle East,3 to 6h
429,Sweden,Middle East,3 to 6h
430,Croatia,Middle East,3 to 6h
431,USA,Africa,> 10h
432,Canada,Africa,> 10h
433,Mexico,Africa,> 10h
434,Brazil,Africa,> 10h
435,Argentina,Africa,> 10h
436,Dominican Republic,Africa,> 10h
437,Peru,Africa,> 10h
438,Cuba,Africa,> 10h
439,Iceland,Africa,6 to 10h
440,"UK, Ireland",Africa,6 to 10h
441,Denmark,Africa,6 to 10h
442,France,Africa,6 to 10h
443,Spain,Africa,6 to 10h
444,Portugal,Africa,6 to 10h
445,Italy,Africa,6 to 10h
446,Greece,Africa,6 to 10h
447,Czech Republic,Africa,6 to 10h
448,Belgium,Africa,6 to 10h
449,Turkey,Africa,3 to 6h
450,Jordan,Africa,3 to 6h
451,U.A.E,Africa,3 to 6h
452,Egypt,Africa,3 to 6h
453,Tanzania,Africa,< 3h
